t	M1	Error1	M2	Error2	M3	Error3	M4	Error4
52085.8923	16.028	0.007	17.588	0.021	18.551	0.014	20.047	0.020
52085.8974	16.013	0.008	17.538	0.022	18.553	0.015	20.184	0.024
52091.8952	16.024	0.005	17.536	0.014	18.562	0.010	20.077	0.014
52091.9003	16.029	0.006	17.569	0.015	18.579	0.011	20.132	0.015
52103.8180	16.052	0.005	17.529	0.013	18.561	0.010	20.064	0.012
52103.8231	16.057	0.005	17.479	0.012	18.561	0.009	20.084	0.011
52123.7472	16.058	0.008	17.556	0.025	18.582	0.016	20.189	0.025
52123.7522	16.046	0.008	17.511	0.022	18.596	0.015	20.106	0.022
52140.7332	16.035	0.007	17.476	0.020	18.651	0.015	20.086	0.022
52140.7383	16.055	0.007	17.547	0.019	18.579	0.013	20.096	0.020
52162.6841	16.025	0.007	17.483	0.020	18.555	0.014	20.086	0.022
52162.6891	16.029	0.008	17.529	0.023	18.596	0.016	20.012	0.024
52167.6755	16.025	0.007	17.492	0.019	18.547	0.013	20.087	0.020
52167.6806	15.994	0.007	17.488	0.020	18.584	0.014	20.069	0.021
52173.6598	16.040	0.007	17.507	0.018	18.606	0.013	20.003	0.018
52173.6649	16.030	0.006	17.541	0.018	18.576	0.012	20.016	0.018
52193.6112	16.023	0.007	17.532	0.018	18.561	0.012	20.052	0.018
52193.6163	16.021	0.007	17.528	0.018	18.543	0.012	20.009	0.018
52201.5956	15.999	0.007	17.476	0.020	18.536	0.013	20.071	0.022
52201.6010	15.985	0.008	17.562	0.025	18.584	0.016	20.086	0.026
52225.5772	15.997	0.006	17.545	0.018	18.522	0.012	20.046	0.018
52225.5823	15.995	0.006	17.533	0.018	18.526	0.012	20.016	0.019
52227.6204	15.994	0.007	17.513	0.019	18.575	0.013	20.077	0.020
52227.6273	15.986	0.007	17.588	0.020	18.546	0.012	19.993	0.019
52243.5720	16.006	0.008	17.624	0.030	18.562	0.017	20.108	0.027
52243.5770	16.024	0.009	17.545	0.029	18.549	0.018	20.115	0.028
52252.5267	16.016	0.007	17.595	0.024	18.550	0.014	19.968	0.021
52252.5318	16.009	0.007	17.561	0.020	18.585	0.013	19.943	0.018
52462.8843	15.767	0.006	17.606	0.023	18.475	0.014	20.067	0.023
52462.8894	15.789	0.007	17.559	0.023	18.530	0.015	19.917	0.022
52606.5485	15.712	0.006	17.587	0.024	18.555	0.016	20.262	0.026
52606.5542	15.701	0.006	17.604	0.023	18.550	0.016	20.099	0.023
52608.5350	15.702	0.007	17.633	0.029	18.632	0.019	20.139	0.029
52611.5202	15.713	0.007	17.624	0.028	18.536	0.017	20.096	0.026
52621.5309	15.715	0.008	17.735	0.036	18.497	0.018	20.166	0.031
52763.9083	16.146	0.008	17.696	0.022	18.786	0.016	20.184	0.020
52763.9140	16.150	0.007	17.689	0.019	18.771	0.014	20.166	0.017
52770.9002	16.154	0.009	17.743	0.027	18.794	0.019	20.257	0.025
52770.9059	16.173	0.008	17.712	0.024	18.803	0.017	20.210	0.022
52784.9251	16.197	0.007	17.713	0.017	18.846	0.013	20.264	0.015
52784.9308	16.221	0.007	17.702	0.018	18.852	0.014	20.248	0.015
52791.9133	16.195	0.009	17.695	0.025	18.864	0.019	20.330	0.025
52791.9190	16.224	0.009	17.733	0.026	18.846	0.019	20.260	0.024
52797.8729	16.223	0.006	17.731	0.016	18.874	0.012	20.251	0.014
52797.8787	16.237	0.006	17.782	0.018	18.848	0.013	20.241	0.015
52812.9027	16.225	0.008	17.707	0.021	18.861	0.016	20.339	0.020
52812.9084	16.247	0.008	17.745	0.023	18.783	0.016	20.242	0.021
52814.9050	16.253	0.008	17.736	0.022	18.845	0.017	20.250	0.021
52814.9107	16.249	0.008	17.714	0.022	18.826	0.016	20.259	0.020
52816.9050	16.231	0.008	17.717	0.020	18.837	0.015	20.248	0.019
52816.9107	16.248	0.008	17.725	0.020	18.886	0.016	20.262	0.019
52818.8933	16.221	0.007	17.716	0.017	18.818	0.013	20.288	0.015
52818.8990	16.231	0.007	17.694	0.017	18.851	0.013	20.282	0.016
52818.9054	16.251	0.007	17.731	0.018	18.840	0.014	20.262	0.017
52818.9112	16.250	0.007	17.704	0.019	18.832	0.015	20.339	0.018
52819.9006	16.236	0.007	17.733	0.017	18.826	0.013	20.260	0.015
52819.9063	16.226	0.007	17.707	0.017	18.852	0.013	20.241	0.015
52830.8212	16.225	0.007	17.663	0.019	18.811	0.014	20.203	0.018
52830.8270	16.217	0.005	17.701	0.017	18.830	0.012	20.145	0.014
52831.8355	16.212	0.008	17.755	0.025	18.801	0.017	20.205	0.021
52831.8412	16.226	0.008	17.735	0.024	18.783	0.016	20.226	0.021
52832.8321	16.218	0.008	17.729	0.023	18.803	0.016	20.237	0.019
52832.8379	16.214	0.008	17.689	0.022	18.817	0.016	20.289	0.020
52835.8604	16.239	0.009	17.731	0.028	18.797	0.019	20.302	0.024
52835.8661	16.240	0.008	17.700	0.025	18.786	0.017	20.266	0.021
52841.8367	16.227	0.006	17.680	0.017	18.819	0.013	20.289	0.016
52841.8425	16.248	0.006	17.704	0.018	18.804	0.013	20.182	0.015
52844.8225	16.221	0.007	17.691	0.018	18.818	0.014	20.228	0.016
52844.8283	16.229	0.007	17.696	0.017	18.815	0.014	20.226	0.016
52850.7818	16.235	0.007	17.709	0.019	18.795	0.014	20.288	0.018
52850.7875	16.240	0.007	17.723	0.019	18.814	0.014	20.221	0.017
52853.8148	16.214	0.005	17.702	0.013	18.832	0.010	20.253	0.012
52853.8206	16.228	0.004	17.654	0.011	18.860	0.009	20.193	0.010
52857.8018	16.238	0.008	17.725	0.022	18.808	0.016	20.196	0.021
52857.8076	16.241	0.010	17.725	0.029	18.813	0.020	20.330	0.029
52858.7963	16.227	0.007	17.726	0.017	18.822	0.013	20.284	0.015
52858.8021	16.242	0.007	17.720	0.017	18.815	0.013	20.233	0.015
52858.8106	16.232	0.007	17.695	0.016	18.834	0.013	20.262	0.015
52858.8164	16.231	0.007	17.740	0.017	18.846	0.013	20.228	0.015
52868.7328	16.211	0.008	17.701	0.021	18.804	0.016	20.189	0.018
52868.7385	16.204	0.008	17.647	0.020	18.802	0.016	20.239	0.019
52869.7320	16.209	0.008	17.686	0.022	18.807	0.016	20.295	0.021
52869.7378	16.222	0.008	17.655	0.020	18.801	0.015	20.196	0.019
52870.7343	16.173	0.007	17.667	0.019	18.775	0.015	20.259	0.018
52870.7458	16.192	0.007	17.703	0.020	18.805	0.015	20.214	0.018
52870.7516	16.212	0.007	17.643	0.018	18.793	0.014	20.268	0.018
52871.7453	16.180	0.006	17.672	0.017	18.781	0.013	20.328	0.017
52871.7576	16.202	0.007	17.646	0.017	18.786	0.013	20.226	0.016
52871.7633	16.189	0.006	17.670	0.016	18.774	0.012	20.259	0.016
52876.7203	16.165	0.008	17.685	0.021	18.791	0.015	20.133	0.019
52876.7261	16.168	0.007	17.634	0.019	18.788	0.015	20.230	0.019
